'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for September 2014,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/09/2014,3.1,0.0, ,25.3,13.4,95,46,1.31,18.06
BRISBANE,02/09/2014,3.6,0.0, ,29.1,12.0,96,20,1.72,14.93
BRISBANE,03/09/2014,4.7,0.0, ,23.1,10.9,56,18,3.11,20.86
BRISBANE,04/09/2014,3.5,0.0, ,23.9,10.0,76,14,1.36,20.94
BRISBANE,05/09/2014,3.3,0.0, ,23.8,9.1,78,32,1.29,20.50
BRISBANE,06/09/2014,3.2,0.0, ,23.4,11.5,75,42,2.01,15.63
BRISBANE,07/09/2014,3.1,0.0, ,23.1,12.9,87,48,2.12,15.94
BRISBANE,08/09/2014,2.8,3.0, ,23.0,13.8,91,47,1.71,13.57
BRISBANE,09/09/2014,3.0,0.0, ,23.6,12.4,93,53,1.53,17.19
BRISBANE,10/09/2014,3.5,0.0, ,28.3,13.3,96,41,1.11,19.72
BRISBANE,11/09/2014,3.7,0.0, ,27.0,11.7,97,21,1.07,21.72
BRISBANE,12/09/2014,3.1,0.0, ,25.2,13.8,96,49,1.39,17.08
BRISBANE,13/09/2014,2.8,0.0, ,24.2,15.1,90,48,1.28,14.48
BRISBANE,14/09/2014,3.5,0.0, ,24.7,12.8,91,49,1.51,20.28
BRISBANE,15/09/2014,3.7,0.0, ,26.3,12.8,92,38,1.39,21.10
BRISBANE,16/09/2014,3.8,0.0, ,26.9,13.3,95,40,1.51,20.64
BRISBANE,17/09/2014,4.5,0.0, ,29.5,11.9,94,16,1.59,22.96
BRISBANE,18/09/2014,4.3,0.0, ,27.3,11.1,73,14,1.43,23.23
BRISBANE,19/09/2014,3.9,0.0, ,24.7,11.2,82,37,1.49,22.53
BRISBANE,20/09/2014,3.1,0.0, ,24.0,14.4,86,53,1.87,15.73
BRISBANE,21/09/2014,3.9,0.0, ,24.4,12.6,86,37,2.35,18.93
BRISBANE,22/09/2014,3.4,0.6, ,23.4,13.4,88,45,2.43,15.52
BRISBANE,23/09/2014,3.6,3.0, ,23.9,15.5,85,39,1.99,17.47
BRISBANE,24/09/2014,2.9,0.8, ,23.4,13.9,87,52,1.58,14.85
BRISBANE,25/09/2014,3.1,0.0, ,26.3,14.8,93,50,1.39,15.15
BRISBANE,26/09/2014,3.6,9.8, ,25.5,13.9,94,42,1.78,17.91
BRISBANE,27/09/2014,3.9,0.0, ,26.6,14.5,94,35,1.45,20.58
BRISBANE,28/09/2014,3.4,10.4, ,23.9,15.0,96,48,1.31,18.91
BRISBANE,29/09/2014,4.0,0.0, ,24.9,13.2,92,50,1.55,23.32
BRISBANE,30/09/2014,4.2,0.0, ,26.2,13.6,92,37,1.40,23.48
Totals:,,106.2,27.6, ,,,,,, 